player_name,points_amsterdam,points_london,points_total
Ernesto Jacopo Varriale,18,18,36
Hayden Dubock,18,16,34
Max Roovers,18,14,32
Oscar Jocqué,15,15,30
Morgan Fussell,15,10,25
Gus Vanpoucke,13,12,25
Phillip Drage,19,3,22
Kieran Edwards,15,7,22
Oscar Francisco,12,9,21
Ross Mckendrick,19,0,19
Kai Schäfer,18,0,18
Karl Niklas,9,9,18
Jamie Shergold,0,18,18
Keira Randall,0,17,17
Tom Grange,0,17,17
Mark Hollings,0,17,17
Mattia Paglino,16,0,16
Iain Ligthart,16,0,16
Daniel Vaughan,0,16,16
Dan Newman,0,16,16
Jordan Payne,0,16,16
Dylan Van Gelder,15,0,15
Tom De Ruiter,15,0,15
Marco Lazzari,15,0,15
Simon Isphording,15,0,15
Stefan Gussenhoven,15,0,15
Felix Watermann,15,0,15
Michael Joseph Purcell,15,0,15
Haron Tuin,15,0,15
Jonathan,15,0,15
Tim Bunnik,15,0,15
Cameron Sidhu,9,6,15
Christian Browne,0,15,15
Ethan Mellor,0,15,15
Robert Stoddart,0,15,15
Dario Blandford,0,15,15
Marco De Pasquale,0,15,15
David Steketee,0,15,15
Michael Brand,0,15,15
Adam Crick,0,15,15
Neil Burbidge,0,15,15
Jacob Crook,0,15,15
Potestasnecis,13,0,13
Benjamin Mul,13,0,13
Jelle Schneider,13,0,13
Wilson,13,0,13
Hidde Van 'T Verlaat,13,0,13
Jörg Vondenhoff,13,0,13
Vitaly Svetlov,13,0,13
Katie Berlin,6,7,13
Niko Battistini,0,13,13
James Taylor,0,13,13
Craig Long,0,13,13
Michael Whelan,0,13,13
David Horvath,12,0,12
Julian Dornebusch,12,0,12
Thomas Wood,12,0,12
Leonardo Paternotte,12,0,12
Nicolas Bordenabe,12,0,12
Ruben Drabbels,12,0,12
Marius Bergwerff,12,0,12
Toon De Vet,12,0,12
Mario Giordano,12,0,12
Owenp,12,0,12
Jarno Polhuijs,12,0,12
Francesco Agnesi,12,0,12
Tomas Gonzalez,12,0,12
Stefan Pouwelse,12,0,12
Ben Van Wijk,12,0,12
Vincent Zwinkels,12,0,12
Neil,12,0,12
Tobias Van Kersbergen,12,0,12
Robbert,12,0,12
Marcel Hogewoning,12,0,12
Joshua Daniels-Kemp,0,12,12
Paulo Sabino,0,12,12
Josh Chiswell,0,12,12
Liam W,0,12,12
James Ball,0,12,12
Idris Killen,0,12,12
Karl Crick,0,12,12
Ted Newman,0,12,12
Finlay Player,0,12,12
Jack J,0,12,12
Ishan Huria,0,12,12
Alessio Mellina,0,12,12
