Name,Points
Ernesto Jacopo Varriale,18
Hayden Dubock,16
Keira Randall,17
Daniel Vaughan,16
Jamie Shergold,18
Tom Grange,17
Mark Hollings,17
Dan Newman,16
Jordan Payne,16
Christian Browne,15
Oscar Jocqué,15
Ethan Mellor,15
Robert Stoddart,15
Dario Blandford,15
Marco De Pasquale,15
David Steketee,15
Michael Brand,15
Adam Crick,15
Neil Burbidge,15
Jacob Crook,15
Max Roovers,14
Niko Battistini,13
James Taylor,13
Craig Long,13
Michael Whelan,13
Joshua Daniels-Kemp,12
Paulo Sabino,12
Josh Chiswell,12
Liam W,12
James Ball,12
Idris Killen,12
Gus Vanpoucke,12
Karl Crick,12
Ted Newman,12
Finlay Player,12
Jack J,12
Ishan Huria,12
Alessio Mellina,12
Francis Tyler,12
Jack Service,12
Noah Shane,12
Craig Tanner,11
Alex Armstrong,10
Morgan Fussell,10
Chris Payne,10
Kieran Goldsworthy,10
Pedro Neves,10
Antoni Zewierzejew,10
Connor McConnell,10
Oscar Mitcham,9
Miles Stevenson,9
Matt wood,9
James barton,9
Alex Symons,9
Jordan Beqiraj,9
CJ Richard,9
Luke Merryweather,9
Sam Stokes,9
Jack Goodchild,9
Miguel Nassib,9
Aaron Linstead,9
Dave Corbett-Neary,9
Oscar Francisco,9
Diego Barbagelata,9
Jack Kirby,9
Karl Niklas,9
Ruggero Caccamo,9
Jamie Rigg,8
Kirill Halstead,7
Shemek P,7
Hector Lancaster,7
Alisa Farenzena,7
Gabriel Roels,7
Jason Brooks,7
Thomas Gray,7
Callum Green,7
Rafiq Dewshi,7
Robert Kropholler,7
Abe Jenkins,7
Fluxx Vaizey,7
Kieran Edwards,7
Katie Berlin,7
Susie Lee,6
Max Watson,6
Guilherme Cunha,6
Paul Thomas,6
Cameron Sidhu,6
Vincent L,6
Jack Varnham,6
Ross Gray,6
Roman Waters,6
Sol Stott,6
Lewis Finn,5
Todor Bachvarov,4
Jack Livingstone,4
Richard Foote,3
Phill Drage,3
Gwilym Lewis,3
Callum Saul,3
Thomas Whittaker,3
Grace Teague,3
Carlo Rob,0
Fiona Tolvasdottir,0
Simon Mercer,0
